demand,date,MW_Prediction
22501,2021-08-01 23:00:37,21464.621
22304,2021-08-01 23:05:36,21464.621
22046,2021-08-01 23:10:37,21464.621
21975,2021-08-01 23:15:37,21464.621
21777,2021-08-01 23:20:37,21464.621
21574,2021-08-01 23:25:37,21464.621
21305,2021-08-01 23:30:39,21464.621
21175,2021-08-01 23:35:36,21464.621
21176,2021-08-01 23:40:36,21464.621
21111,2021-08-01 23:45:37,21464.621
21003,2021-08-01 23:50:38,21464.621
20914,2021-08-01 23:55:37,21464.621
20832,2021-08-02 00:00:40,21132.95
20752,2021-08-02 00:05:36,21132.95
20783,2021-08-02 00:10:38,21132.95
20695,2021-08-02 00:15:36,21132.95
20647,2021-08-02 00:20:36,21132.95
20660,2021-08-02 00:25:36,21132.95
20646,2021-08-02 00:30:36,21132.95
20606,2021-08-02 00:35:37,21132.95
20656,2021-08-02 00:40:39,21132.95
20689,2021-08-02 00:45:37,21132.95
20699,2021-08-02 00:50:37,21132.95
20767,2021-08-02 00:55:36,21132.95
20763,2021-08-02 01:00:36,21132.95
20702,2021-08-02 01:05:37,21132.95
20753,2021-08-02 01:10:36,21132.95
20731,2021-08-02 01:15:37,21132.95
20646,2021-08-02 01:20:36,21132.95
20544,2021-08-02 01:25:36,21132.95
20401,2021-08-02 01:30:36,21132.95
20360,2021-08-02 01:35:36,21132.95
20291,2021-08-02 01:40:37,21132.95
20270,2021-08-02 01:45:35,21132.95
20329,2021-08-02 01:50:38,21132.95
20351,2021-08-02 01:55:36,21132.95
20260,2021-08-02 02:00:39,21132.95
20225,2021-08-02 02:05:35,21132.95
20229,2021-08-02 02:10:36,21132.95
20164,2021-08-02 02:15:37,21132.95
19975,2021-08-02 02:20:35,21132.95
19904,2021-08-02 02:25:36,21132.95
19747,2021-08-02 02:30:36,21132.95
19830,2021-08-02 02:35:36,21132.95
19823,2021-08-02 02:40:36,21132.95
19807,2021-08-02 02:45:36,21132.95
19817,2021-08-02 02:50:37,21132.95
20073,2021-08-02 02:55:36,21132.95
20196,2021-08-02 03:00:38,21132.95
20230,2021-08-02 03:05:36,21132.95
20201,2021-08-02 03:10:37,21132.95
20238,2021-08-02 03:15:37,21132.95
20042,2021-08-02 03:20:36,21132.95
19986,2021-08-02 03:25:36,21132.95
20012,2021-08-02 03:30:36,21132.95
19975,2021-08-02 03:35:36,21132.95
20013,2021-08-02 03:40:37,21132.95
20038,2021-08-02 03:45:37,21132.95
20083,2021-08-02 03:50:36,21132.95
20193,2021-08-02 03:55:37,21132.95
20415,2021-08-02 04:00:36,21132.95
20475,2021-08-02 04:05:36,21132.95
20551,2021-08-02 04:10:37,21132.95
20661,2021-08-02 04:15:37,21132.95
20532,2021-08-02 04:20:37,21132.95
20522,2021-08-02 04:25:37,21132.95
20550,2021-08-02 04:30:36,21132.95
20565,2021-08-02 04:35:36,21132.95
20624,2021-08-02 04:40:37,21132.95
20789,2021-08-02 04:45:36,21132.95
20934,2021-08-02 04:50:35,21132.95
21046,2021-08-02 04:55:36,21132.95
21081,2021-08-02 05:00:36,22781.219
21375,2021-08-02 05:05:36,22781.219
22008,2021-08-02 05:10:37,22781.219
22417,2021-08-02 05:15:37,22781.219
22521,2021-08-02 05:20:36,22781.219
22888,2021-08-02 05:25:37,22781.219
23273,2021-08-02 05:30:40,22781.219
23518,2021-08-02 05:35:36,22781.219
23758,2021-08-02 05:40:38,22781.219
24037,2021-08-02 05:45:36,22781.219
24222,2021-08-02 05:50:38,22781.219
24358,2021-08-02 05:55:37,22781.219
24683,2021-08-02 06:00:38,26472.02
24896,2021-08-02 06:05:37,26472.02
25302,2021-08-02 06:10:38,26472.02
25751,2021-08-02 06:15:38,26472.02
26002,2021-08-02 06:20:36,26472.02
26292,2021-08-02 06:25:37,26472.02
26507,2021-08-02 06:30:36,26472.02
26724,2021-08-02 06:35:36,26472.02
26937,2021-08-02 06:40:39,26472.02
26988,2021-08-02 06:45:38,26472.02
27147,2021-08-02 06:50:37,26472.02
27303,2021-08-02 06:55:36,26472.02
27412,2021-08-02 07:00:37,29960.795
27518,2021-08-02 07:05:37,29960.795
27819,2021-08-02 07:10:37,29960.795
28071,2021-08-02 07:15:37,29960.795
28133,2021-08-02 07:20:38,29960.795
28371,2021-08-02 07:25:37,29960.795
28504,2021-08-02 07:30:37,29960.795
28518,2021-08-02 07:35:37,29960.795
28639,2021-08-02 07:40:38,29960.795
28690,2021-08-02 07:45:37,29960.795
28795,2021-08-02 07:50:37,29960.795
28887,2021-08-02 07:55:39,29960.795
28919,2021-08-02 08:00:37,29713.066
29059,2021-08-02 08:05:38,29713.066
29070,2021-08-02 08:10:37,29713.066
29065,2021-08-02 08:15:37,29713.066
29056,2021-08-02 08:20:37,29713.066
29140,2021-08-02 08:25:36,29713.066
29094,2021-08-02 08:30:38,29713.066
29140,2021-08-02 08:35:36,29713.066
29097,2021-08-02 08:40:37,29713.066
29037,2021-08-02 08:45:38,29713.066
29024,2021-08-02 08:50:38,29713.066
29016,2021-08-02 08:55:36,29713.066
28941,2021-08-02 09:00:40,29713.066
28918,2021-08-02 09:05:36,29713.066
28933,2021-08-02 09:10:38,29713.066
28950,2021-08-02 09:15:37,29713.066
28991,2021-08-02 09:20:37,29713.066
28954,2021-08-02 09:25:37,29713.066
28983,2021-08-02 09:30:37,29713.066
29012,2021-08-02 09:35:37,29713.066
28974,2021-08-02 09:40:39,29713.066
28832,2021-08-02 09:45:37,29713.066
28883,2021-08-02 09:50:38,29713.066
28931,2021-08-02 09:55:36,29713.066
28873,2021-08-02 10:00:40,29713.066
28816,2021-08-02 10:05:36,29713.066
28807,2021-08-02 10:10:37,29713.066
28807,2021-08-02 10:15:38,29713.066
28910,2021-08-02 10:20:37,29713.066
28961,2021-08-02 10:25:36,29713.066
29031,2021-08-02 10:30:44,29713.066
29019,2021-08-02 10:35:38,29713.066
29050,2021-08-02 10:40:39,29713.066
29128,2021-08-02 10:45:36,29713.066
29147,2021-08-02 10:50:37,29713.066
29101,2021-08-02 10:55:37,29713.066
28986,2021-08-02 11:00:42,29713.066
29007,2021-08-02 11:05:37,29713.066
29083,2021-08-02 11:10:38,29713.066
29114,2021-08-02 11:15:38,29713.066
29128,2021-08-02 11:20:37,29713.066
29146,2021-08-02 11:25:36,29713.066
29138,2021-08-02 11:30:41,29713.066
29120,2021-08-02 11:35:35,29713.066
29104,2021-08-02 11:40:45,29713.066
29052,2021-08-02 11:45:37,29713.066
28961,2021-08-02 11:50:37,29713.066
29040,2021-08-02 11:55:36,29713.066
29049,2021-08-02 12:00:37,29713.066
28958,2021-08-02 12:05:36,29713.066
29044,2021-08-02 12:10:39,29713.066
29144,2021-08-02 12:15:37,29713.066
29068,2021-08-02 12:20:37,29713.066
29000,2021-08-02 12:25:37,29713.066
28944,2021-08-02 12:30:36,29713.066
28916,2021-08-02 12:35:37,29713.066
28875,2021-08-02 12:40:36,29713.066
28836,2021-08-02 12:45:38,29713.066
28846,2021-08-02 12:50:36,29713.066
28942,2021-08-02 12:55:36,29713.066
28891,2021-08-02 13:00:38,29713.066
28818,2021-08-02 13:05:36,29713.066
28937,2021-08-02 13:10:43,29713.066
28962,2021-08-02 13:15:37,29713.066
29067,2021-08-02 13:20:36,29713.066
29103,2021-08-02 13:25:37,29713.066
29101,2021-08-02 13:30:39,29713.066
29146,2021-08-02 13:35:36,29713.066
29186,2021-08-02 13:40:43,29713.066
29141,2021-08-02 13:45:40,29713.066
29216,2021-08-02 13:50:40,29713.066
29249,2021-08-02 13:55:37,29713.066
29316,2021-08-02 14:00:37,29713.066
29332,2021-08-02 14:05:36,29713.066
29444,2021-08-02 14:10:43,29713.066
29459,2021-08-02 14:15:39,29713.066
29554,2021-08-02 14:20:37,29713.066
29626,2021-08-02 14:25:36,29713.066
29687,2021-08-02 14:30:38,29713.066
29741,2021-08-02 14:35:37,29713.066
29795,2021-08-02 14:40:40,29713.066
29798,2021-08-02 14:45:37,29713.066
29930,2021-08-02 14:50:37,29713.066
30006,2021-08-02 14:55:38,29713.066
30018,2021-08-02 15:00:38,29906.393
30008,2021-08-02 15:05:37,29906.393
30065,2021-08-02 15:11:01,29906.393
30113,2021-08-02 15:15:50,29906.393
30301,2021-08-02 15:20:40,29906.393
30375,2021-08-02 15:25:38,29906.393
30601,2021-08-02 15:30:37,29906.393
30727,2021-08-02 15:35:42,29906.393
30770,2021-08-02 15:40:40,29906.393
30896,2021-08-02 15:45:42,29906.393
31000,2021-08-02 15:50:37,29906.393
31196,2021-08-02 15:55:39,29906.393
31240,2021-08-02 16:00:36,31315.883
31270,2021-08-02 16:05:37,31315.883
31429,2021-08-02 16:10:37,31315.883
31608,2021-08-02 16:15:37,31315.883
31698,2021-08-02 16:20:39,31315.883
31864,2021-08-02 16:25:39,31315.883
32020,2021-08-02 16:30:40,31315.883
32102,2021-08-02 16:35:41,31315.883
32028,2021-08-02 16:40:40,31315.883
32072,2021-08-02 16:45:40,31315.883
32077,2021-08-02 16:50:37,31315.883
32164,2021-08-02 16:55:37,31315.883
32199,2021-08-02 17:00:38,31516.793
32217,2021-08-02 17:05:37,31516.793
32342,2021-08-02 17:10:37,31516.793
32385,2021-08-02 17:15:38,31516.793
32333,2021-08-02 17:20:41,31516.793
32352,2021-08-02 17:25:37,31516.793
32311,2021-08-02 17:30:40,31516.793
32258,2021-08-02 17:35:36,31516.793
32283,2021-08-02 17:40:42,31516.793
32347,2021-08-02 17:45:36,31516.793
32336,2021-08-02 17:50:38,31516.793
32302,2021-08-02 17:55:41,31516.793
32217,2021-08-02 18:00:47,31516.793
32105,2021-08-02 18:05:40,31516.793
32054,2021-08-02 18:10:40,31516.793
31885,2021-08-02 18:15:38,31516.793
31790,2021-08-02 18:20:41,31516.793
31782,2021-08-02 18:25:36,31516.793
31689,2021-08-02 18:30:47,31516.793
31634,2021-08-02 18:35:36,31516.793
31788,2021-08-02 18:40:38,31516.793
31788,2021-08-02 18:45:37,31516.793
31760,2021-08-02 18:50:38,31516.793
31786,2021-08-02 18:55:40,31516.793
31647,2021-08-02 19:00:38,31516.793
31661,2021-08-02 19:05:36,31516.793
31632,2021-08-02 19:10:39,31516.793
31556,2021-08-02 19:15:38,31516.793
31521,2021-08-02 19:20:40,31516.793
31376,2021-08-02 19:25:40,31516.793
31213,2021-08-02 19:30:43,31516.793
31194,2021-08-02 19:35:36,31516.793
31216,2021-08-02 19:40:39,31516.793
31033,2021-08-02 19:45:37,31516.793
30966,2021-08-02 19:50:38,31516.793
30985,2021-08-02 19:55:36,31516.793
30908,2021-08-02 20:00:44,30416.465
30843,2021-08-02 20:05:36,30416.465
30871,2021-08-02 20:10:37,30416.465
30750,2021-08-02 20:15:40,30416.465
30608,2021-08-02 20:20:36,30416.465
30551,2021-08-02 20:25:40,30416.465
30519,2021-08-02 20:30:49,30416.465
30371,2021-08-02 20:35:37,30416.465
30356,2021-08-02 20:40:36,30416.465
30239,2021-08-02 20:45:37,30416.465
30036,2021-08-02 20:50:37,30416.465
29864,2021-08-02 20:55:38,30416.465
29575,2021-08-02 21:00:43,27860.314
29314,2021-08-02 21:05:36,27860.314
29247,2021-08-02 21:10:42,27860.314
29071,2021-08-02 21:15:37,27860.314
28743,2021-08-02 21:20:38,27860.314
28387,2021-08-02 21:25:37,27860.314
28151,2021-08-02 21:30:37,27860.314
27916,2021-08-02 21:35:36,27860.314
27695,2021-08-02 21:40:37,27860.314
27377,2021-08-02 21:45:39,27860.314
27105,2021-08-02 21:50:45,27860.314
26859,2021-08-02 21:55:37,27860.314
26640,2021-08-02 22:00:41,24645.385
26384,2021-08-02 22:05:36,24645.385
26004,2021-08-02 22:10:39,24645.385
25692,2021-08-02 22:15:41,24645.385
25368,2021-08-02 22:20:36,24645.385
25096,2021-08-02 22:25:37,24645.385
24842,2021-08-02 22:30:36,24645.385
24548,2021-08-02 22:35:36,24645.385
24371,2021-08-02 22:40:39,24645.385
24225,2021-08-02 22:45:38,24645.385
23990,2021-08-02 22:50:37,24645.385
23855,2021-08-02 22:55:38,24645.385
23621,2021-08-02 23:00:41,22521.113
23405,2021-08-02 23:05:36,22521.113
23182,2021-08-02 23:10:37,22521.113
23091,2021-08-02 23:15:43,22521.113
22889,2021-08-02 23:20:41,22521.113
22737,2021-08-02 23:25:36,22521.113
22524,2021-08-02 23:30:36,22521.113
22406,2021-08-02 23:35:36,22521.113
22354,2021-08-02 23:40:43,22521.113
22286,2021-08-02 23:45:39,22521.113
22179,2021-08-02 23:50:38,22521.113
22023,2021-08-02 23:55:36,22521.113
21850,2021-08-03 00:00:37,21716.22
21719,2021-08-03 00:05:37,21716.22
21711,2021-08-03 00:10:37,21716.22
21662,2021-08-03 00:15:38,21716.22
21675,2021-08-03 00:20:36,21716.22
21687,2021-08-03 00:25:36,21716.22
21607,2021-08-03 00:30:36,21716.22
21533,2021-08-03 00:35:37,21716.22
21629,2021-08-03 00:40:37,21716.22
21626,2021-08-03 00:45:37,21716.22
21575,2021-08-03 00:50:35,21716.22
21491,2021-08-03 00:55:36,21716.22
21461,2021-08-03 01:00:37,21716.22
21381,2021-08-03 01:05:41,21716.22
21427,2021-08-03 01:10:38,21716.22
21365,2021-08-03 01:15:37,21716.22
21318,2021-08-03 01:20:36,21716.22
21341,2021-08-03 01:25:36,21716.22
21324,2021-08-03 01:30:38,21716.22
21293,2021-08-03 01:35:36,21716.22
21288,2021-08-03 01:40:38,21716.22
21173,2021-08-03 01:45:36,21716.22
21195,2021-08-03 01:50:35,21716.22
21122,2021-08-03 01:55:36,21716.22
21079,2021-08-03 02:00:38,21716.22
21038,2021-08-03 02:05:37,21716.22
20953,2021-08-03 02:10:37,21716.22
20915,2021-08-03 02:15:37,21716.22
20883,2021-08-03 02:20:37,21716.22
20902,2021-08-03 02:25:36,21716.22
20943,2021-08-03 02:30:36,21716.22
20981,2021-08-03 02:35:36,21716.22
21015,2021-08-03 02:40:37,21716.22
21014,2021-08-03 02:45:38,21716.22
21008,2021-08-03 02:50:36,21716.22
21036,2021-08-03 02:55:37,21716.22
21058,2021-08-03 03:00:38,21716.22
21064,2021-08-03 03:05:36,21716.22
21119,2021-08-03 03:10:38,21716.22
21145,2021-08-03 03:15:36,21716.22
21137,2021-08-03 03:20:36,21716.22
21155,2021-08-03 03:25:36,21716.22
21106,2021-08-03 03:30:36,21716.22
21031,2021-08-03 03:35:36,21716.22
21037,2021-08-03 03:40:40,21716.22
21129,2021-08-03 03:45:36,21716.22
21149,2021-08-03 03:50:36,21716.22
21171,2021-08-03 03:55:37,21716.22
21184,2021-08-03 04:00:36,21716.22
21227,2021-08-03 04:05:37,21716.22
21323,2021-08-03 04:10:38,21716.22
21455,2021-08-03 04:15:37,21716.22
21501,2021-08-03 04:20:37,21716.22
21510,2021-08-03 04:25:36,21716.22
21486,2021-08-03 04:30:36,21716.22
21524,2021-08-03 04:35:36,21716.22
21698,2021-08-03 04:40:38,21716.22
21861,2021-08-03 04:45:37,21716.22
21964,2021-08-03 04:50:36,21716.22
22105,2021-08-03 04:55:37,21716.22
22174,2021-08-03 05:00:39,22882.39
22301,2021-08-03 05:05:36,22882.39
22561,2021-08-03 05:10:38,22882.39
22983,2021-08-03 05:15:37,22882.39
23182,2021-08-03 05:20:37,22882.39
23399,2021-08-03 05:25:36,22882.39
23682,2021-08-03 05:30:41,22882.39
23832,2021-08-03 05:35:36,22882.39
24122,2021-08-03 05:40:40,22882.39
24461,2021-08-03 05:45:37,22882.39
24698,2021-08-03 05:50:36,22882.39
24948,2021-08-03 05:55:36,22882.39
25305,2021-08-03 06:00:37,26573.191
25576,2021-08-03 06:05:36,26573.191
26075,2021-08-03 06:10:39,26573.191
26536,2021-08-03 06:15:37,26573.191
26810,2021-08-03 06:20:39,26573.191
27024,2021-08-03 06:25:37,26573.191
27303,2021-08-03 06:30:37,26573.191
27572,2021-08-03 06:35:36,26573.191
27662,2021-08-03 06:40:39,26573.191
27875,2021-08-03 06:45:36,26573.191
28076,2021-08-03 06:50:37,26573.191
28277,2021-08-03 06:55:36,26573.191
28486,2021-08-03 07:00:37,29960.795
28724,2021-08-03 07:05:35,29960.795
29007,2021-08-03 07:10:38,29960.795
29202,2021-08-03 07:15:36,29960.795
