volume,date,MW_Prediction
741195.0,2020-03-20,764215.0
624674.0,2020-03-21,686878.2
623340.0,2020-03-22,683191.56
688279.0,2020-03-23,764215.0
642432.0,2020-03-24,744217.0
642604.0,2020-03-25,744217.0
644496.0,2020-03-26,744217.0
617060.0,2020-03-27,728320.6
566177.0,2020-03-28,622666.75
550703.0,2020-03-29,618980.1
671376.0,2020-03-30,693979.4
683754.0,2020-03-31,693979.4
684231.0,2020-04-01,693979.4
611224.0,2020-04-02,693979.4
635433.0,2020-04-03,693979.4
559021.0,2020-04-04,611578.7
493464.0,2020-04-05,607892.06
547864.0,2020-04-06,681981.4
577167.0,2020-04-07,681981.4
579871.0,2020-04-08,681981.4
562646.0,2020-04-09,681981.4
525383.0,2020-04-10,681981.4
495788.0,2020-04-11,603012.44
498732.0,2020-04-12,599325.8
490739.0,2020-04-13,658789.56
566277.0,2020-04-14,658789.56
553727.0,2020-04-15,658789.56
550866.0,2020-04-16,658789.56
550576.0,2020-04-17,658789.56
563355.0,2020-04-18,588622.2
496104.0,2020-04-19,584935.56
501981.0,2020-04-20,658789.56
499858.0,2020-04-21,658789.56
518565.0,2020-04-22,658789.56
546469.0,2020-04-23,658789.56
539572.0,2020-04-24,658789.56
511715.0,2020-04-25,588622.2
506348.0,2020-04-26,584935.56
576055.0,2020-04-27,658789.56
635941.0,2020-04-28,658789.56
607419.0,2020-04-29,658789.56
592714.0,2020-04-30,658789.56
570700.0,2020-05-01,642153.4
520088.0,2020-05-02,576458.0
560661.0,2020-05-03,562977.56
557190.0,2020-05-04,630829.25
543065.0,2020-05-05,630829.25
546289.0,2020-05-06,630829.25
545359.0,2020-05-07,630829.25
507834.0,2020-05-08,630829.25
479905.0,2020-05-09,562559.3
482520.0,2020-05-10,558872.7
535303.0,2020-05-11,630829.25
575618.0,2020-05-12,630829.25
579887.0,2020-05-13,630829.25
567479.0,2020-05-14,630829.25
551536.0,2020-05-15,630829.25
504733.0,2020-05-16,562559.3
485432.0,2020-05-17,558872.7
522696.0,2020-05-18,630829.25
549543.0,2020-05-19,630829.25
538842.0,2020-05-20,630829.25
539874.0,2020-05-21,630829.25
456892.0,2020-05-22,630829.25
433347.0,2020-05-23,562559.3
450158.0,2020-05-24,558872.7
468873.0,2020-05-25,630829.25
533986.0,2020-05-26,630829.25
541803.0,2020-05-27,630829.25
524907.0,2020-05-28,630829.25
504297.0,2020-05-29,630829.25
455243.0,2020-05-30,562559.3
449921.0,2020-05-31,558872.7
533373.0,2020-06-01,630829.25
542108.0,2020-06-02,630829.25
569606.0,2020-06-03,630829.25
575953.0,2020-06-04,630829.25
516758.0,2020-06-05,630829.25
484043.0,2020-06-06,562559.3
514633.0,2020-06-07,558872.7
582093.0,2020-06-08,630829.25
591598.0,2020-06-09,630829.25
618623.0,2020-06-10,630829.25
560738.0,2020-06-11,630829.25
559847.0,2020-06-12,630829.25
504886.0,2020-06-13,562559.3
505975.0,2020-06-14,558872.7
570220.0,2020-06-15,630829.25
588626.0,2020-06-16,630829.25
595123.0,2020-06-17,630829.25
613025.0,2020-06-18,630829.25
567213.0,2020-06-19,630829.25
487149.0,2020-06-20,562559.3
459348.0,2020-06-21,558872.7
517151.0,2020-06-22,630829.25
538797.0,2020-06-23,630829.25
562804.0,2020-06-24,630829.25
569146.0,2020-06-25,630829.25
581164.0,2020-06-26,630829.25
492730.0,2020-06-27,562559.3
421458.0,2020-06-28,558872.7
515746.0,2020-06-29,630829.25
586166.0,2020-06-30,630829.25
595308.0,2020-07-01,630829.25
597888.0,2020-07-02,630829.25
546254.0,2020-07-03,630829.25
518784.0,2020-07-04,562559.3
446985.0,2020-07-05,558872.7
535206.0,2020-07-06,630829.25
608785.0,2020-07-07,630829.25
629501.0,2020-07-08,630829.25
627268.0,2020-07-09,630829.25
573455.0,2020-07-10,630829.25
504889.0,2020-07-11,562559.3
488721.0,2020-07-12,558872.7
579491.0,2020-07-13,630829.25
599745.0,2020-07-14,630829.25
617150.0,2020-07-15,630829.25
597118.0,2020-07-16,630829.25
578623.0,2020-07-17,630829.25
525793.0,2020-07-18,562559.3
498658.0,2020-07-19,558872.7
559429.0,2020-07-20,630829.25
582398.0,2020-07-21,630829.25
583043.0,2020-07-22,630829.25
585875.0,2020-07-23,630829.25
581994.0,2020-07-24,630829.25
524810.0,2020-07-25,562559.3
484565.0,2020-07-26,558872.7
567510.0,2020-07-27,630829.25
522541.0,2020-07-28,630829.25
564711.0,2020-07-29,630829.25
578488.0,2020-07-30,630829.25
568372.0,2020-07-31,630829.25
531826.0,2020-08-01,562559.3
502791.0,2020-08-02,558872.7
576121.0,2020-08-03,630829.25
571432.0,2020-08-04,630829.25
572508.0,2020-08-05,630829.25
630359.0,2020-08-06,630829.25
609342.0,2020-08-07,630829.25
541070.0,2020-08-08,562559.3
522825.0,2020-08-09,558872.7
620869.0,2020-08-10,630829.25
645154.0,2020-08-11,630829.25
651051.0,2020-08-12,630829.25
644204.0,2020-08-13,630829.25
633400.0,2020-08-14,630829.25
578988.0,2020-08-15,562559.3
569640.0,2020-08-16,558872.7
629989.0,2020-08-17,630829.25
621910.0,2020-08-18,630829.25
642476.0,2020-08-19,630829.25
556986.0,2020-08-20,630829.25
540106.0,2020-08-21,630829.25
486521.0,2020-08-22,562559.3
529708.0,2020-08-23,558872.7
609488.0,2020-08-24,630829.25
587308.0,2020-08-25,630829.25
598056.0,2020-08-26,630829.25
656741.0,2020-08-27,630829.25
593367.0,2020-08-28,630829.25
521327.0,2020-08-29,562559.3
535626.0,2020-08-30,558872.7
565191.0,2020-08-31,636227.5
614252.0,2020-09-01,636227.5
611761.0,2020-09-02,636227.5
610765.0,2020-09-03,636227.5
598814.0,2020-09-04,636227.5
530681.0,2020-09-05,567957.56
562490.0,2020-09-06,564270.94
623419.0,2020-09-07,636227.5
627939.0,2020-09-08,636227.5
615745.0,2020-09-09,636227.5
639700.0,2020-09-10,636227.5
604421.0,2020-09-11,636227.5
