price,date,MW_Prediction
32.12,2021-08-07 03:00:00,81.40926
32.44,2021-08-07 03:30:00,81.40926
32.1,2021-08-07 04:00:00,81.40926
40.26,2021-08-07 04:30:00,81.40926
122.0,2021-08-07 05:00:00,85.17478
48.27,2021-08-07 05:30:00,85.17478
129.0,2021-08-07 06:00:00,87.03228
129.5,2021-08-07 06:30:00,87.03228
46.16,2021-08-07 07:00:00,93.37007
130.0,2021-08-07 07:30:00,93.37007
131.0,2021-08-07 08:00:00,93.879616
134.8,2021-08-07 08:30:00,93.879616
134.8,2021-08-07 09:00:00,93.76302
138.0,2021-08-07 09:30:00,93.76302
138.0,2021-08-07 10:00:00,92.75835
138.0,2021-08-07 10:30:00,92.75835
129.0,2021-08-07 11:00:00,91.853966
31.55,2021-08-07 11:30:00,91.853966
20.2,2021-08-07 12:00:00,89.904
20.2,2021-08-07 12:30:00,89.904
20.2,2021-08-07 13:00:00,87.515076
40.6,2021-08-07 13:30:00,87.515076
20.51,2021-08-07 14:00:00,86.8046
20.2,2021-08-07 14:30:00,86.8046
20.51,2021-08-07 15:00:00,89.60154
122.95,2021-08-07 15:30:00,89.60154
132.0,2021-08-07 16:00:00,106.569756
134.5,2021-08-07 16:30:00,106.569756
134.5,2021-08-07 17:00:00,117.78228
129.0,2021-08-07 17:30:00,117.78228
129.0,2021-08-07 18:00:00,118.05236
59.0,2021-08-07 18:30:00,118.05236
129.0,2021-08-07 19:00:00,115.15014
129.0,2021-08-07 19:30:00,115.15014
129.0,2021-08-07 20:00:00,99.40241
125.0,2021-08-07 20:30:00,99.40241
129.0,2021-08-07 21:00:00,92.5893
129.0,2021-08-07 21:30:00,92.5893
133.0,2021-08-07 22:00:00,90.97596
130.0,2021-08-07 22:30:00,90.97596
